
lat;long;text
48.8539009000; 2.3618888854; Space Invader PA_0106, 2 rue Charlemagne
48.8533335680; 2.3766383528; Space Invader PA_0451  PA_0654, 39 rue de Charonne
48.8533362160; 2.3758256435; Space Invader PA_0277, 31 rue de Charonne
48.8555700000; 2.3697630000; Space Invader PA_0037, 8 rue du Pasteur Wagner
48.8798850720; 2.3587802052; Space Invader PA_0568, 2 rue de l'Aqueduc
48.8803031210; 2.3608160018; Space Invader PA_0445, 181 rue Lafayette
48.8810760000; 2.3618650000; Space Invader PA_0565, 3 rue Philippe de Girard
48.8532656000; 2.3706489801; Space Invader PA_0510, place de la Bastille
48.8545890000; 2.3687840000; Space Invader PA_0555, 11 boulevard Beaumarchais
48.8603740000; 2.3502150000; Space Invader PA_0273, 21 rue Aubry le Boucher
48.8573740600; 2.3472332954; Space Invader PA_0143, place du Châtelet
48.8467069500; 2.3871231079; Space Invader PA_0604, 36 rue Erard
48.8457410000; 2.3738680000; Space Invader PA_0240, face au 23 boulevard Diderot
48.8616003890; 2.3674866557; Space Invader PA_0072, rue Charles Luizet
48.8539080280; 2.3698590690; Space Invader PA_0697, 14 boulevard Richard Lenoir
48.8687552100; 2.3920208215; Space Invader PA_0744, La Bellevilloise
48.8709220000; 2.3953880000; Space Invader PA_0375, 2 rue de l'Est
48.8731552370; 2.3816514015; Space Invader PA_0547, place Fréhel
48.8852982720; 2.3853099346; Space Invader PA_0166, face au 21 rue Georges Auric
48.8738256150; 2.3855566978; Space Invader PA_0602, cour de la Métairie
48.8756955690; 2.3814368247; Space Invader PA_0708, 11 passage Gauthier
48.8529832420; 2.3669072985; Space Invader PA_0710, 7 rue de Lesdiguières
48.8474200440; 2.3656547069; Space Invader PA_0398, 1 pont Morland
48.8439798010; 2.3639756441; Space Invader PA_0334, 7-13 Place Valhubert
48.8732222750; 2.3898375034; Space Invader PA_0577, 5 rue Levert
48.8621950460; 2.3637020587; Space Invader PA_0655, 34 rue Debelleyme
48.8598428440; 2.3646542420; Space Invader PA_0022, 68 rue de Turenne
48.8299120000; 2.3753630000; Space Invader PA_0427, 10 rue de Tolbiac
48.8643565740; 2.3816621303; Space Invader PA_0672, 1 avenue Jean Aicard
48.8678677500; 2.3901218175; Space Invader PA_0291, 15 rue des Plâtrières
48.8794670200; 2.3893520236; Space Invader PA_0389, 86 rue de Botzaris
48.8535727070; 2.3384892940; Space Invader PA_0044, 2 rue de l'Ancienne Comédie
48.8546940000; 2.3367770000; Space Invader PA_0677, 46 rue de Seine
48.8572381760; 2.3364132640; Space Invader PA_0678, 6 rue de Seine
48.8661898300; 2.3233374900; Space Invader PA_0152, place de la Concorde
48.8639348630; 2.3311883211; Space Invader PA_0360, 0 rue Saint-Roch
48.8621932810; 2.3371294140; Space Invader PA_0563, 2 place du Palais Royal
48.8603104700; 2.3473834991; Space Invader PA_0092, 8 rue de la Ferronnerie
48.8402392170; 2.3154866690; Space Invader PA_0674, passage Alexandre
48.8617220000; 2.3516000000; Space Invader PA_0926, 149 rue Saint-Martin
48.8670526190; 2.3979941010; Space Invader PA_0411, 68 rue Orfila
48.8716327390; 2.4041149020; Space Invader PA_0658, métro Saint-Fargeau
48.8732928410; 2.3825499415; Space Invader PA_0732, 2 rue Jouye-Rouve
48.8559869700; 2.3666632175; Space Invader PA_0637, 22 place des Vosges
48.8568022870; 2.3629617600; Space Invader PA_0682, 21 rue des Francs-Bourgeois
48.8647835750; 2.3456829786; Space Invader PA_0470,  64 rue Tiquetonne
48.8647835750; 2.3456829786; Space Invader PA_1062, 64 rue Tiquetonne
48.8647835750; 2.3456829786; Space Invader PA_1057, 64 rue Tiquetonne
48.8624410000; 2.3352720000; Space Invader PA_0576, 2 place du Carrousel
48.8452630800; 2.3118361830; Space Invader PA_0578, 3 place Henri Queuille
48.8605800000; 2.3455630000; Space Invader PA_1030, 41 rue des Bourdonnais
48.8404139830; 2.3530000448; Space Invader PA_0502, 29 rue Censier
48.8262982710; 2.3600086569; Space Invader PA_0363, 116 avenue de Choisy
48.8543510020; 2.3445779085; Space Invader PA_0394, pont Saint-Michel
48.8433672750; 2.3792079091; Space Invader PA_0542, 5 rue de Rambouillet
48.8658316530; 2.3700052499; Space Invader PA_0683, 132 boulevard Richard Lenoir
48.8688610700; 2.3673552270; Space Invader PA_0250, entrée du mini-square de Jemmapes
48.8721480000; 2.3651480000; Space Invader PA_0448, 80 quai Jemmapes
48.8731270100; 2.3636376857; Space Invader PA_0454, Assainissement de Valmy
48.8817770000; 2.3688090000; Space Invader PA_0872, Le Point (pas si) Ephémère
48.8817770000; 2.3687000000; Space Invader PA_1148, Le Point (pas si) Ephémère
48.8776748220; 2.3582142591; Space Invader PA_0352, 21 rue d'Alsace
48.8579500000; 2.3528800000; Space Invader PA_0580, 59 rue de la Verrerie
48.8816280000; 2.3308890000; Space Invader PA_0080, 5 rue Ballu
48.8589230000; 2.3523510000; Space Invader PA_0612, 14 rue du Renard
48.8653729010; 2.3308101296; Space Invader PA_0177, 12 rue du 29 Juillet
48.8538091970; 2.3818498849; Space Invader PA_0702, 98 rue de Charonne
48.8560205010; 2.3863667249; Space Invader PA_0390, 1 passage Gustave Lepeu
48.8615960000; 2.3630040000; Space Invader PA_0575, 22 rue de Poitou
48.8645524310; 2.3645550012; Space Invader PA_0083, fontaine Boucherat
48.8557469610; 2.3785454034; Space Invader PA_0718, 39 rue Basfroi
48.8388690000; 2.3960120000; Space Invader PA_0740, 99 rue Claude Decaen
48.8617380000; 2.3508080000; Space Invader PA_0997, 61 rue Quincampoix
48.8652370390; 2.3753710090; Space Invader PA_1005, 89 rue Oberkampf
48.8658889970; 2.3781497776; Space Invader PA_0532, 113 rue Oberkampf
48.8889931600; 2.3961474000; Space Invader PA_0621, porte de Pantin
48.8744130700; 2.3861789703; Space Invader PA_0589, 1 rue Melingue
48.8741114050; 2.3855942487; Space Invader PA_0489, 1 rue Clavel
48.8694944600; 2.3689699172; Space Invader PA_0743, 45 rue du Faubourg du Temple
48.8856100000; 2.3165890000; Space Invader PA_0726, 135 rue de Rome
48.8659198740; 2.3469798266; Space Invader PA_0468, 65 rue Montorgueil
48.8834330000; 2.3140960000; Space Invader PA_0660, 46 rue de Lévis
48.8732619600; 2.3589451610; Space Invader PA_0549, 54 rue des Vinaigriers
48.8834870000; 2.3418990000; Space Invader PA_0607, 48 rue d'Orsel
48.8843872940; 2.3424495756; Space Invader PA_0605, 1 place Suzanne Valadon
48.8862130000; 2.3440910000; Space Invader PA_0644, 2 rue Lamarck
48.8767487110; 2.3511734604; Space Invader PA_0226, 83 rue d'Hauteville
48.8842240000; 2.3597160000; Space Invader PA_0609, 35 boulevard de la Chapelle
48.8840370000; 2.3562540000; Space Invader PA_0348, 39bis boulevard de la Chapelle
48.8519050000; 2.3490570000; Space Invader PA_0556, 2 rue de l'Hôtel Colbert
48.8503588030; 2.3830729722; Space Invader PA_0811, Est de la fontaine de Montreuil
48.8731587650; 2.3430611193; Space Invader PA_0734, 20 rue du Faubourg Montmartre
48.8603854660; 2.3754206299; Space Invader PA_0754, 59bis rue Popincourt
48.8665709400; 2.3356997966; Space Invader PA_0582, 14 rue Villedo
48.8637230000; 2.3494010000; Space Invader PA_0590, 17 rue Étienne Marcel
48.8255320000; 2.3747850000; Space Invader PA_0705, 32 rue de Patay
48.8729530000; 2.3907780000; Space Invader PA_0742, 322 rue des Pyrénées
48.8485337920; 2.3939144611; Space Invader PA_0515, 278 rue du Faubourg Saint-Antoine
48.8728465070; 2.3313707110; Space Invader PA_0631, entrée Nord de l'Opéra
48.8479750000; 2.3516840000; Space Invader PA_0636, 32 rue de Poissy
48.8526337950; 2.3632380366; Space Invader PA_0588, 5 rue Charles V
48.8626291230; 2.3497076332; Space Invader PA_0355, 4 rue de la Grande Truanderie
48.8506320000; 2.3475600000; Space Invader PA_0528, 13 rue des Anglais
48.8449740000; 2.3324820000; Space Invader PA_0481, sous la plaque de rue du coin du parc
48.8413275280; 2.3251493275; Space Invader PA_0494, 41 rue Delambre
48.8514707200; 2.3380064964; Space Invader PA_0473, 3 rue Saint-Sulpice
48.8551548740; 2.3377208411; Space Invader PA_0455, 48 rue Mazarine
48.8433222620; 2.4022775880; Space Invader PA_0433, 33 rue de Sibuet
48.8814820000; 2.3399370000; Space Invader PA_0553, 74 rue des Martyrs
48.8877207050; 2.3325763642; Space Invader PA_0207, 7 rue Damrémont
48.8392490000; 2.3002810000; Space Invader PA_0365, 268 rue de Vaugirard
48.8637875280; 2.3448219895; Space Invader PA_0295, 4 rue du Jour
48.8643601030; 2.3642170429; Space Invader PA_0746, 79 rue Charlot
48.8611645370; 2.3631709814; Space Invader PA_0696, 9 rue Debellyeme
48.8439992000; 2.3549473280; Space Invader PA_0401, fontaine de Cuvier
48.8404254580; 2.3497492074; Space Invader PA_0679, 1 rue de l'Arbalète
48.8215718400; 2.3424670100; Space Invader PA_0216, 67 rue de l'Amiral Mouchez
48.8805641790; 2.2929400205; Space Invader PA_0618, 15 rue Pierre Demours
48.8762768290; 2.2924786806; Space Invader PA_0429, 22 avenue Carnot
48.8655599320; 2.2855666279; Space Invader PA_0665, 127 rue de Lauriston
48.8650323600; 2.2828240692; Space Invader PA_0652, 25 rue des Sablons
48.8646000710; 2.2944125533; Space Invader PA_0456, 1 place d'Iéna
48.8621320000; 2.3562460000; Space Invader PA_0722, 11 rue Michel Lecomte
48.8471446920; 2.3481680452; Space Invader PA_0040, 45 rue de la Montagne Sainte-Geneviève
48.8447617750; 2.3465278744; Space Invader PA_0765, 17 rue de l'Estrapade
48.8676952900; 2.3454563319; Space Invader PA_0062, 99 rue de Réaumur
48.8676952900; 2.3454563319; Space Invader PA_1078, 99 rue de Réaumur
48.8718100400; 2.3060882091; Space Invader PA_0476, 1 rue Paul Baudry
48.8702610000; 2.3732370000; Space Invader PA_0446, 174 rue Saint-Maur
48.8894706570; 2.3368343710; Space Invader PA_0647, 66 rue Caulaincourt
48.8758649200; 2.3472145200; Space Invader PA_0730, 6 rue Bleue
48.8904390000; 2.3532390000; Space Invader PA_0336, centre d'Hygiène Sociale
48.8320800000; 2.3028900000; Space Invader PA_0403, porte N-E du parc George Brassens
48.8279740000; 2.3049270000; Space Invader PA_0646, porte de Vanves
48.8371110000; 2.2966150000; Space Invader PA_0626, 200 rue de la Convention
48.8609740000; 2.4049650000; Space Invader PA_0192, face au 130 rue de Bagnolet
48.8609740000; 2.4049650000; Space Invader PA_0785, face au 130 rue de Bagnolet
48.8569530000; 2.3980390000; Space Invader PA_0717, 2 rue des Orteaux
48.8531720830; 2.3774376511; Space Invader PA_0703, 47 rue de Charonne
