lat;long;text;invader;code;artist;address;address2;yena2
48.8539009000; 2.3618888854; Space Invader PA_0106, 2 rue Charlemagne; Space Invader PA_0106;PA_0106; PA;, 2 rue Charlemagne; 2 rue Charlemagne;
48.8533335680; 2.3766383528; Space Invader PA_0451  PA_0654, 39 rue de Charonne; Space Invader PA_0451;PA_0451; PA;  PA_0654, 39 rue de Charonne;  PA_0654, 39 rue de Charonne;X
48.8533362160; 2.3758256435; Space Invader PA_0277, 31 rue de Charonne; Space Invader PA_0277;PA_0277; PA;, 31 rue de Charonne; 31 rue de Charonne;
48.8555700000; 2.3697630000; Space Invader PA_0037, 8 rue du Pasteur Wagner; Space Invader PA_0037;PA_0037; PA;, 8 rue du Pasteur Wagner; 8 rue du Pasteur Wagner;
48.8798850720; 2.3587802052; Space Invader PA_0568, 2 rue de l'Aqueduc; Space Invader PA_0568;PA_0568; PA;, 2 rue de l'Aqueduc; 2 rue de l'Aqueduc;
48.8803031210; 2.3608160018; Space Invader PA_0445, 181 rue Lafayette; Space Invader PA_0445;PA_0445; PA;, 181 rue Lafayette; 181 rue Lafayette;
48.8810760000; 2.3618650000; Space Invader PA_0565, 3 rue Philippe de Girard; Space Invader PA_0565;PA_0565; PA;, 3 rue Philippe de Girard; 3 rue Philippe de Girard;
48.8532656000; 2.3706489801; Space Invader PA_0510, place de la Bastille; Space Invader PA_0510;PA_0510; PA;, place de la Bastille; place de la Bastille;
48.8545890000; 2.3687840000; Space Invader PA_0555, 11 boulevard Beaumarchais; Space Invader PA_0555;PA_0555; PA;, 11 boulevard Beaumarchais; 11 boulevard Beaumarchais;
48.8603740000; 2.3502150000; Space Invader PA_0273, 21 rue Aubry le Boucher; Space Invader PA_0273;PA_0273; PA;, 21 rue Aubry le Boucher; 21 rue Aubry le Boucher;
48.8573740600; 2.3472332954; Space Invader PA_0143, place du Châtelet; Space Invader PA_0143;PA_0143; PA;, place du Châtelet; place du Châtelet;
48.8467069500; 2.3871231079; Space Invader PA_0604, 36 rue Erard; Space Invader PA_0604;PA_0604; PA;, 36 rue Erard; 36 rue Erard;
48.8457410000; 2.3738680000; Space Invader PA_0240, face au 23 boulevard Diderot; Space Invader PA_0240;PA_0240; PA;, face au 23 boulevard Diderot; face au 23 boulevard Diderot;
48.8616003890; 2.3674866557; Space Invader PA_0072, rue Charles Luizet; Space Invader PA_0072;PA_0072; PA;, rue Charles Luizet; rue Charles Luizet;
