code,dtmaj
NY_0150,01/01/2019
NY_0168,01/01/2019
NY_0171,01/01/2019
NY_0173,01/01/2019
LDN_101,01/01/2020
LDN_095,01/01/2020
PA_0020,12/09/2021
PA_0027,13/04/2019
PA_0039,01/01/2019
PA_0058,31/12/2018
PA_0090,12/09/2021
PA_0154,22/02/2020
PA_0162,13/10/2019
PA_0208,06/04/2019
PA_0213,22/02/2020
PA_0262,01/01/2021
PA_0311,05/04/2019
PA_0324,12/09/2021
PA_0393,01/01/2008
PA_0396,13/10/2019
PA_0407,13/04/2019
PA_0409,01/01/2009
PA_0434,21/10/2018
PA_0479,01/01/2008
PA_0491,01/01/2008
PA_0509,01/01/2008
PA_0518,01/01/2008
PA_0546,01/01/2021
PA_0557,29/12/2018
PA_0578,17/03/2019
PA_0582,04/11/2018
PA_0625,05/09/2021
PA_0632,01/01/2008
PA_0676,01/01/2012
PA_0687,01/01/2012
PA_0704,20/10/2018
PA_0721,01/01/2013
PA_0742,16/03/2019
PA_0777,01/01/2018
PA_0777,12/09/2021
PA_0808,11/09/2021
PA_0819,12/09/2021
PA_0877,20/10/2018
PA_0884,13/10/2019
PA_0892,24/10/2018
PA_0898,01/01/2015
PA_1035,01/07/2020
PA_1097,04/11/2018
PA_1188,06/04/2019
PA_1215,04/11/2018
PA_1267,21/10/2018
PA_1276,09/02/2019
PA_1333,11/09/2021
PA_1036,12/09/2021
PA_0296,12/09/2021
PA_0936,12/09/2021
PA_1037,12/09/2021
VRS_004,31/03/2019
VRS_020,01/06/2018
PA_0358,18/09/2021
PA_0410,18/09/2021
PA_0412,18/09/2021
PA_0367,19/09/2021
PA_0257,19/09/2021
PA_0772,19/09/2021
PA_0969,19/09/2021
PA_0899,19/09/2021
PA_0265,19/09/2021
PA_0258,19/09/2021
PA_0263,19/09/2021
PA_0896,01/01/2021
PA_0614,01/01/2021
PA_0902,21/09/2021
PA_1403,01/10/2021
PA_0992,01/10/2021
PA_0954,01/10/2021
PA_0927,01/10/2021
PA_0964,01/10/2021
PA_0925,01/10/2021
PA_1390,01/10/2021
PA_0904,01/10/2021
