code;status;address;lat;lon
PA_0163;Got.it;133 Rue Saint-Jacques, 75005 Paris;48.846906;2.34358
PA_0197;Got.it;rue joseph de maistre, Paris;48.886669;2.332505
PA_0302;Got.it;rue de l'encheval;48.879049;2.389844
PA_0747;Got.it;78 rue mazarine, Paris;48.853993;2.338231
PA_0768;Got.it;75 avenue daumesnil;48.846216;2.377664
PA_1184;Got.it;A6, pont de la D165;48.762416;2.340498
PA_1297;Got.it;89 bis rue de reuilly;48.844529;2.390049
PA_1306;Got.it;46 avenue pierre brossollette;48.820011;2.311098
PA_1312;Got.it;22 rue de la comete;48.858108;2.309292
PA_1314;Got.it;139 rue Mouffetard;48.839938;2.349819
PA_1315;Got.it;142 avenue du Général Leclerc;48.823444;2.325374
PA_1317;Got.it;17 rue Gît le Cœur;48.853611;2.342504
PA_1332;Got.it;46 rue des Fossés Saint-Bernard;48.847714;2.352916
PA_1336;Got.it;24 rue de Montreuil;48.850396;2.385554
PA_1337;Got.it;93 rue de Seine;48.852337;2.337235
PA_1339;Got.it;1 rue des Vignerons, Vincennes;48.845153;2.431599
PA_1341;Got.it;40 avenue Aubert, Vincennes;48.847883;2.431161
PA_1350;Got.it;133 rue de Sèvres;48.847421;2.318042
PA_1357;Got.it;2 rue de Saint-Petersbourg;48.87993;2.324083
PA_1359;Got.it;place de la Sorbonne;48.848852;2.341915
PA_1362;Got.it;2 rue des Boulets;48.854238;2.388704
