invader;code;artist;address;invaders.geo;lat;lon
Not an invader - LGBT;ZZ_001; PA;2 rue Tiquetonne, Paris;2 Rue Tiquetonne, 75002 Paris;48.86428;2.34995
Space Invader LY_0003;LY_0003;LY; place Gabriel Rambaud, Lyon; place Gabriel Rambaud, Lyon; 45.767879; 4.829440
Space Invader LY_0006;LY_0006;LY; 49 Quai Saint-Vincent, 69001 Lyon;49 Quai Saint-Vincent, 69001 Lyon; 45.767874; 4.828119
Space Invader LY_0007;LY_0007;LY; 18 Rue Lainerie, 69005 Lyon;18 Rue Lainerie, 69005 Lyon; 45.764837; 4.828098
Space Invader LY_0022;LY_0022;LY; impasse Saint Polycarpe, Lyon; impasse Saint Polycarpe, Lyon; 45.768555; 4.834497
Space Invader LY_0023;LY_0023;LY; rue Donnée, Lyon; rue Donnée, Lyon; 45.769872; 4.834904
Space Invader LY_0024;LY_0024;LY; 5 rue Burdeau, Lyon; rue Burdeau, Lyon; 45.770307; 4.831682
Space Invader LY_0043;LY_0043;LY; passerelle Saint Georges; passerelle Saint Georges; 45.756896; 4.826879
Space Invader LY_0044;LY_0044;LY; 10-18 Rue Auguste Comte, 69002 Lyon;10-18 Rue Auguste Comte, 69002 Lyon; 45.755471; 4.831624
Space Invader NY_0149;NY_0149;NY; Joey Ramone, 360 Troutman St, new york city;360 Troutman St, Brooklyn, NY 11237;40.70553;-73.92373
Space Invader NY_0150;NY_0150;NY; 49 Wyckoff Ave, new york city;49 Wyckoff Ave, Brooklyn, NY 11237;40.705941; -73.921796
Space Invader NY_0153;NY_0153;NY; Michelangelo 167 Bowery, New York, NY 10002, États-Unis;167 Bowery, New York, NY 10002, États-Unis;40.720115; -73.994141
Space Invader NY_0156;NY_0156;NY; Leonardo, Williamsburg Pizza 272-290 Broome St, New York, NY 10002, États-Unis;272-290 Broome St, New York, NY 10002, États-Unis; 40.718385; -73.991160
Space Invader NY_0158;NY_0158;NY; Burger Waverly Dinner, 391 6th Ave, New York, NY 10014, États-Unis;391 6th Ave, New York, NY 10014, États-Unis;40.733393; -74.000326
Space Invader NY_0160;NY_0160;NY; 1435 St Johns Pl, New York, État de New York;1435 St Johns Pl, New York, État de New York;40.670598; -73.930919
Space Invader NY_0161;NY_0161;NY; 192 Mott St, New York, NY 10012, États-Unis;192 Mott St, New York, NY 10012, États-Unis;40.721258; -73.995558
Space Invader NY_0165;NY_0165;NY; 96 St Marks Pl, new york city;96 St Marks Pl, New York, NY 10009;40.7272;-73.98493
Space Invader NY_0168;NY_0168;NY; 354 Broadway, Brooklyn, new york city;354 Broadway, Brooklyn;40.707623; -73.955702
Space Invader NY_0169;NY_0169;NY; Pier 40, quai proche musée enfants; pier 40, quai proche musée des enfants; 40.727739; -74.010664
Space Invader NY_0171;NY_0171;NY; Spiderman, angle St Mark Place et 2nd avenue, new york city;Spiderman, angle St Mark Place et 2nd avenue, new york city; 40.728532; -73.987677
Space Invader NY_0173;NY_0173;NY; Woody Allen, 133 E 4th St;Woody Allen, 133 E 4th St; 40.725455; -73.987446
Space Invader NY_0178;NY_0178;NY; Andy Wharoll, angle East 5th and cooper square;Andy Wharoll, angle East 5th and cooper square; 40.727774; -73.991101
Space Invader NY_X001;NY_X001;NY; 161 Hester St, new york city;161 Hester St, New York, NY 10013;40.71771;-73.9964
Space Invader NY_X003;NY_X003;NY; 143 8th Ave, new york city;143 8th Ave, New York, NY 10011;40.74192;-74.00136
Space Invader NY_X004;NY_X004;NY; 89 Avenue A, new york city;89 Avenue A, New York, NY 10009;40.7254;-73.98419
Space Invader NY_X007;NY_X007;NY; 176 Delancey St, new york city;176 Delancey St, New York, NY 10002;40.71781;-73.985
Space Invader NY_X008;NY_X008;NY; E 3rd St, new york city;E 3rd St, New York, NY 10003;40.7258600019081;-73.9905349972022
Space Invader NY_X009;NY_X009;NY; 1st Ave, new york city;1st Ave, New York, NY 10065;40.7623350001105;-73.9600000005416
