code,invaders.geo,lat,lon
LY_0003, place Gabriel Rambaud. Lyon, 45.767879, 4.829440
LY_0006,49 Quai Saint-Vincent. 69001 Lyon, 45.767874, 4.828119
LY_0007,18 Rue Lainerie. 69005 Lyon, 45.764837, 4.828098
LY_0022, impasse Saint Polycarpe. Lyon, 45.768555, 4.834497
LY_0023, rue Donnée. Lyon, 45.769872, 4.834904
LY_0024, rue Burdeau. Lyon, 45.770307, 4.831682
LY_0043, passerelle Saint Georges, 45.756896, 4.826879
LY_0044,10-18 Rue Auguste Comte. 69002 Lyon, 45.755471, 4.831624
NY_0149,360 Troutman St. Brooklyn. NY 11237,40.70553,-73.92373
NY_0150,49 Wyckoff Ave. Brooklyn. NY 11237,40.705941, -73.921796
NY_0153,167 Bowery. New York. NY 10002. États-Unis,40.720115, -73.994141
NY_0156,272-290 Broome St. New York. NY 10002. États-Unis, 40.718385, -73.991160
NY_0158,391 6th Ave. New York. NY 10014. États-Unis,40.733393, -74.000326
NY_0160,1435 St Johns Pl. New York. État de New York,40.670598, -73.930919
NY_0161,192 Mott St. New York. NY 10012. États-Unis,40.721258, -73.995558
NY_0165,96 St Marks Pl. New York. NY 10009,40.7272,-73.98493
NY_0168,354 Broadway. Brooklyn,40.707623, -73.955702
NY_0169, pier 40. quai proche musée des enfants, 40.727739, -74.010664
NY_0171,Spiderman. angle St Mark Place et 2nd avenue. new york city, 40.728532, -73.987677
NY_0173,Woody Allen. 133 E 4th St, 40.725455, -73.987446
NY_0178,Andy Wharoll. angle East 5th and cooper square, 40.727774, -73.991101
NY_X001,161 Hester St. New York. NY 10013,40.71771,-73.9964
NY_X003,143 8th Ave. New York. NY 10011,40.74192,-74.00136
NY_X004,89 Avenue A. New York. NY 10009,40.7254,-73.98419
NY_X007,176 Delancey St. New York. NY 10002,40.71781,-73.985
NY_X008,E 3rd St. New York. NY 10003,40.7258600019081,-73.9905349972022
NY_X009,1st Ave. New York. NY 10065,40.7623350001105,-73.9600000005416
NY_X010,9th Ave. New York. NY 10014,40.7406191377359,-74.0056376275386
NY_X012,155 Grand St. New York. NY 10013,40.71989,-73.99899
NY_X013,505 W 24th St. New York. NY 10011,40.74877,-74.00408
NY_X014,22 Bond St. New York. NY 10012,40.72661,-73.99381
NY_X015,24 Watts St. New York. NY 10013,40.7235563381102,-74.0041569541917
NY_X016,183 Bowery. New York. NY 10002,40.72048,-73.99374
NY_X017,235 Bowery. New York. NY 10002,40.7224,-73.993
NY_X018,115 Delancey St. New York. NY 10002,40.71827,-73.98806
NY_X019,1 Spring St. New York. NY 10012,40.72116,-73.99413
NY_X020,143 E Houston St. New York. NY 10002,40.72312,-73.98994
NY_X021,66 Rivington St. New York. NY 10002,40.72066,-73.98999
NY_X022,457 W 17th St. New York. État de New York,40.744136, -74.006528
NY_X023,8th Ave. New York. NY 10014,40.7386578581304,-74.0036298204146
NY_X026,E Houston St. New York. NY 10012,40.7250199696149,-73.9951150179573
NY_X027,Crosby St. New York. NY 10013,40.7209150007611,-73.9994600031865
NY_X029,1 Howard St. New York. NY 10013,40.71969333,-74.00073333
NY_X030,68 Elizabeth St. New York. NY 10013. États-Unis,40.717730, -73.996273
PA_0002,45 Rue Quincampoix. 75004 Paris,48.86103,2.35045
PA_0003,14 Rue de la Montagne Sainte-Geneviéve. 75005 Paris,48.8488676,2.3484198
PA_0004,22 Rue Monge. 75005 Paris,48.84717,2.35103
PA_0005,25 Rue Guisarde. 75006 Paris,48.85179,2.33383
PA_0006,40 Rue de Seine. 75006 Paris,48.85508,2.33674
PA_0007, 87 quai de valmy. 75010. Paris  , 48.873100, 2.363571
PA_0008,  PA_1083. Impasse Cordon-Boussard,48.8657870000, 2.3975940000
PA_0010, 30 rue de Charonne,48.8532600000, 2.3757400000
PA_0013,47 Avenue Daumesnil. 75012 Paris,48.84739,2.37554
PA_0014,59 Avenue Ledru-Rollin. 75012 Paris,48.84893,2.37276
PA_0015,24 Rue de citeaux. 75014 Paris, 48.848145, 2.380798
PA_0016,76 Avenue Ledru-Rollin. 75012 Paris,48.84937,2.37419
PA_0017, face à la rue Voltaire,48.8157510000, 2.3619390000
PA_0018,16 Rue Saint-Vincent. 75018 Paris,48.88854,2.34131
PA_0019,Paris. Paris,48.873272, 2.364214
PA_0020, 20 rue Saint-Fiacre,48.8707180000, 2.3459080000
PA_0021, 12 rue Saint-Fiacre,48.8701370000, 2.3455640000
PA_0022,68 Rue de Turenne. 75003 Paris,48.85974,2.36466
PA_0023, 5 impasse Beaubourg,48.8622000000, 2.3534300000
PA_0024,73 Avenue des Gobelins. 75013 Paris,48.83339,2.35453
PA_0025, 2 rue de la Corderie,48.8646340000, 2.3634560000
PA_0027, fontaine des Haudriettes,48.8612070000, 2.3579490000
PA_0028,5 Rue Keller. 75011 Paris,48.85382,2.37649
PA_0029, 21 rue Pastourelle,48.8625970000, 2.3598940000
PA_0030,44 Rue Quincampoix. 75004 Paris,48.86094,2.35052
PA_0031, 30 rue de Venise,48.8612500, 2.3506800
PA_0032,108 Rue Vieille-du-Temple. 75003 Paris,48.86095,2.36281
