code,invaders.geo,lat,lon
PA_0002,45 Rue Quincampoix. 75004 Paris,48.86103,2.35045
PA_0003,14 Rue de la Montagne Sainte-Geneviéve. 75005 Paris,48.8488676,2.3484198
PA_0004,22 Rue Monge. 75005 Paris,48.84717,2.35103
PA_0005,25 Rue Guisarde. 75006 Paris,48.85179,2.33383
PA_0006,40 Rue de Seine. 75006 Paris,48.85508,2.33674
PA_0007,87 quai de valmy. 75010. Paris  , 48.873100, 2.363571
PA_0008,PA_1083. Impasse Cordon-Boussard,48.8657870000, 2.3975940000
PA_0010,30 rue de Charonne,48.8532600000, 2.3757400000
PA_0013,47 Avenue Daumesnil. 75012 Paris,48.84739,2.37554
PA_0014,59 Avenue Ledru-Rollin. 75012 Paris,48.84893,2.37276
PA_0015,24 Rue de citeaux. 75014 Paris, 48.848145, 2.380798
PA_0016,76 Avenue Ledru-Rollin. 75012 Paris,48.84937,2.37419
PA_0017,face à la rue Voltaire,48.8157510000, 2.3619390000
PA_0018,16 Rue Saint-Vincent. 75018 Paris,48.88854,2.34131
PA_0020,20 rue Saint-Fiacre,48.8707180000, 2.3459080000
PA_0021,12 rue Saint-Fiacre,48.8701370000, 2.3455640000
